movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt0455824,Australia,2008,PG-13,165 min,"Adventure, Drama, Romance",6.6,"Set in northern Australia before WWII, an Englishwoman who inherits a sprawling ranch reluctantly pacts with a stock-man in order to drive 2,000 head of cattle over unforgiving landscapes.",Baz Luhrmann,/name/nm0525303/,"Nicole Kidman, 
Hugh Jackman, 
Shea Adams, 
Eddie Baroo","/name/nm0000173/,/name/nm0413168/,/name/nm0011354/,/name/nm1812267/",126141.0,49554002.0
tt1234548,The Men Who Stare at Goats,2009,R,94 min,"Comedy, War",6.2,"A reporter in Iraq might just have the story of a lifetime when he meets Lyn Cassady, a guy who claims to be a former member of the U.S. Army's New Earth Army, a unit that employs paranormal powers in their missions.",Grant Heslov,/name/nm0381416/,"Ewan McGregor, 
George Clooney, 
Kevin Spacey, 
Jeff Bridges","/name/nm0000191/,/name/nm0000123/,/name/nm0000228/,/name/nm0000313/",134084.0,32428195.0
tt5431890,Official Secrets,2019,R,112 min,"Biography, Crime, Drama",7.3,The true story of a British whistleblower who leaked information to the press about an illegal NSA spy operation designed to push the UN Security Council into sanctioning the 2003 invasion of Iraq.,Gavin Hood,/name/nm0004303/,"Keira Knightley, 
Matt Smith, 
Matthew Goode, 
Rhys Ifans","/name/nm0461136/,/name/nm1741002/,/name/nm0328828/,/name/nm0406975/",49306.0,395511.0
tt6852178,Benediction,2021,PG-13,137 min,"Biography, Drama, History",6.7,"Legendary 20th Century war poet Siegfried Sassoon's life-long quest for personal salvation through his experiences with family, war, his writing, and destructive relationships goes unresolved, never realizing it can only come from within.",Terence Davies,/name/nm0203993/,"Jack Lowden, 
Thom Ashley, 
Orlando Jopling, 
Christopher Naylor","/name/nm4110963/,/name/nm9118434/,/name/nm13873025/,/name/nm0623271/",2531.0,
tt0395169,Hotel Rwanda,2004,PG-13,121 min,"Biography, Drama, History",8.1,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Terry George,/name/nm0313623/,"Don Cheadle, 
Sophie Okonedo, 
Joaquin Phoenix, 
Xolani Mali","/name/nm0000332/,/name/nm0645683/,/name/nm0001618/,/name/nm1796730/",358818.0,23530892.0
tt0093105,"Good Morning, Vietnam",1987,R,121 min,"Biography, Comedy, Drama",7.3,"In 1965, an unorthodox and irreverent DJ named Adrian Cronauer begins to shake up things when he is assigned to the U.S. Armed Services radio station in Vietnam.",Barry Levinson,/name/nm0001469/,"Robin Williams, 
Forest Whitaker, 
Tom. T. Tran, 
Chintara Sukapatana","/name/nm0000245/,/name/nm0001845/,/name/nm0870918/,/name/nm0837701/",144339.0,123922370.0
tt0037791,Hotel Berlin,1945,Approved,98 min,"Drama, Music, War",6.7,"In 1945, a strange mix of Germans, military personnel and civilians, pro-Nazi and anti-Nazi, celebrities and escaped prisoners, converges at a lavish hotel in heavily-bombed Berlin.",Peter Godfrey,/name/nm0324013/,"Faye Emerson, 
Helmut Dantine, 
Raymond Massey, 
Andrea King","/name/nm0256207/,/name/nm0200626/,/name/nm0557339/,/name/nm0454448/",831.0,
tt9777644,Da 5 Bloods,2020,R,154 min,"Adventure, Drama, War",6.5,Four African-American vets battle the forces of man and nature when they return to Vietnam seeking the remains of their fallen squad leader and the gold fortune he helped them hide.,Spike Lee,/name/nm0000490/,"Delroy Lindo, 
Jonathan Majors, 
Clarke Peters, 
Norm Lewis","/name/nm0005148/,/name/nm3718007/,/name/nm0676370/,/name/nm0507592/",52541.0,
tt0074452,The Eagle Has Landed,1976,PG,123 min,"Adventure, Drama, Thriller",6.9,A German plot to kidnap Sir Winston Churchill unfolds at the height of World War II.,John Sturges,/name/nm0836328/,"Michael Caine, 
Donald Sutherland, 
Robert Duvall, 
Jenny Agutter","/name/nm0000323/,/name/nm0000661/,/name/nm0000380/,/name/nm0000256/",22852.0,
tt2057392,Eye in the Sky,2015,R,102 min,"Action, Drama, Thriller",7.3,"Col. Katherine Powell, a military officer in command of an operation to capture terrorists in Kenya, sees her mission escalate when a girl enters the kill zone triggering an international dispute over the implications of modern warfare.",Gavin Hood,/name/nm0004303/,"Helen Mirren, 
Aaron Paul, 
Alan Rickman, 
Barkhad Abdi","/name/nm0000545/,/name/nm0666739/,/name/nm0000614/,/name/nm5831542/",87690.0,18700837.0
